label	layer	phase	bucket	count	mean_cos	mean_rel_l2	mean_rms_delta	mean_mean_abs_delta	mean_max_abs_delta	mean_router_top1_match	mean_router_topk_jaccard	mean_router_margin_delta
base_k100	2	output	512-768	20	0.399790967	0.032205615	-0.000427890	-0.000032136	-0.068750000	nan	nan	nan
base_k100	2	output	64-256	15	0.399519392	0.046647239	+0.000794037	-0.000045985	+0.075000000	nan	nan	nan
base_k100	2	output	768-1024	21	0.380558295	0.041289931	+0.001174745	+0.000779321	-0.005952381	nan	nan	nan
base_k100	2	output	all	592	0.431912865	0.042704466	+0.000441704	+0.000204017	-0.011190878	nan	nan	nan
base_k100	2	router_logits	0-64	320	0.399623267	0.040880072	+0.002811782	+0.003075820	+0.004833984	0.978125000	0.966666667	+0.003564453
base_k100	2	router_logits	1024-1000000000	196	0.499772498	0.029011269	+0.001200295	+0.001400588	-0.004145408	0.964285714	0.963265306	-0.001674107
base_k100	2	router_logits	256-512	20	0.399865562	0.026911158	-0.000832450	-0.001324654	-0.014062500	1.000000000	0.960000000	-0.014062500
base_k100	2	router_logits	512-768	20	0.399880067	0.026695763	+0.000889844	+0.001012230	-0.002343750	0.950000000	1.000000000	+0.003125000
base_k100	2	router_logits	64-256	15	0.399872136	0.027286351	-0.000884064	-0.000541941	+0.014583333	1.000000000	0.920000000	+0.033333333
base_k100	2	router_logits	768-1024	21	0.380738607	0.034142208	+0.001998811	+0.001608531	+0.008928571	1.000000000	1.000000000	+0.008184524
base_k100	2	router_logits	all	592	0.432134055	0.034927596	+0.001967720	+0.002159086	+0.001372466	0.974662162	0.966441441	+0.002137880
base_k100	3	attention_output	0-64	320	0.395822486	0.138543416	+0.002547722	+0.002972284	-0.061914062	nan	nan	nan
base_k100	3	attention_output	1024-1000000000	196	0.497366018	0.101690626	-0.003041659	-0.003110318	-0.026466837	nan	nan	nan
base_k100	3	attention_output	256-512	20	0.397508970	0.110770974	-0.005307931	-0.004368985	-0.046875000	nan	nan	nan
base_k100	3	attention_output	512-768	20	0.397231597	0.119846990	-0.003244865	-0.002429992	-0.040625000	nan	nan	nan
base_k100	3	attention_output	64-256	15	0.396657995	0.124058276	-0.017499653	-0.012201635	-0.362500000	nan	nan	nan
base_k100	3	attention_output	768-1024	21	0.378388124	0.113907450	-0.000516903	-0.002068122	+0.014880952	nan	nan	nan
base_k100	3	attention_output	all	592	0.428948931	0.121874186	-0.000380574	-0.000035348	-0.053842905	nan	nan	nan
base_k100	3	input	0-64	320	0.399345579	0.048634696	+0.001510801	+0.000625664	-0.014843750	nan	nan	nan
base_k100	3	input	1024-1000000000	196	0.499636696	0.035801521	-0.001239207	-0.000469655	-0.011479592	nan	nan	nan
base_k100	3	input	256-512	20	0.399635202	0.041338163	-0.000355262	-0.000120768	+0.037500000	nan	nan	nan
base_k100	3	input	512-768	20	0.399790967	0.032205615	-0.000427890	-0.000032136	-0.068750000	nan	nan	nan
base_k100	3	input	64-256	15	0.399519392	0.046647239	+0.000794037	-0.000045985	+0.075000000	nan	nan	nan
base_k100	3	input	768-1024	21	0.380558295	0.041289931	+0.001174745	+0.000779321	-0.005952381	nan	nan	nan
base_k100	3	input	all	592	0.431912865	0.042704466	+0.000441704	+0.000204017	-0.011190878	nan	nan	nan
base_k100	3	mlp_output	0-64	320	0.398181876	0.068350518	+0.002129453	+0.000921927	-0.026367188	nan	nan	nan
base_k100	3	mlp_output	1024-1000000000	196	0.499564099	0.040921985	-0.001185698	-0.001183402	-0.023596939	nan	nan	nan
base_k100	3	mlp_output	256-512	20	0.399267784	0.063159258	-0.010602355	-0.005826405	-0.231250000	nan	nan	nan
base_k100	3	mlp_output	512-768	20	0.399554041	0.047324945	+0.002869326	-0.000774311	+0.065625000	nan	nan	nan
base_k100	3	mlp_output	64-256	15	0.398984826	0.060111668	-0.002171699	-0.004157273	-0.058333333	nan	nan	nan
base_k100	3	mlp_output	768-1024	21	0.380235856	0.057731032	+0.010827615	+0.002283971	+0.187500000	nan	nan	nan
base_k100	3	mlp_output	all	592	0.431214401	0.056506300	+0.000826304	-0.000140777	-0.022487331	nan	nan	nan
base_k100	3	moe_output	0-64	320	0.394638168	0.147002008	+0.000139497	+0.000052670	+0.002393341	nan	nan	nan
base_k100	3	moe_output	1024-1000000000	196	0.497050608	0.103038661	-0.000122609	-0.000105496	-0.001297931	nan	nan	nan
