label	layer	phase	bucket	count	mean_cos	mean_rel_l2	mean_rms_delta	mean_mean_abs_delta	mean_max_abs_delta	mean_router_top1_match	mean_router_topk_jaccard	mean_router_margin_delta
base_k100	12	attention_output	256-512	8	0.961832330	0.240341592	-0.012506090	-0.004745480	-0.082031250	nan	nan	nan
base_k100	12	attention_output	512-768	8	0.967603937	0.242765738	-0.009860732	-0.003242157	-0.191406250	nan	nan	nan
base_k100	12	attention_output	64-256	6	0.896818519	0.392380501	-0.012268583	-0.000370115	+0.307291667	nan	nan	nan
base_k100	12	attention_output	768-1024	8	0.917717963	0.381640116	-0.036609761	-0.012726087	-0.472656250	nan	nan	nan
base_k100	12	attention_output	all	256	0.934118159	0.316604443	-0.010958907	-0.000714535	-0.141235352	nan	nan	nan
base_k100	12	input	0-64	128	0.978113849	0.175556374	+0.007719596	+0.004910514	+0.087890625	nan	nan	nan
base_k100	12	input	1024-1000000000	98	0.981392498	0.129760735	-0.017143663	-0.008716563	-0.364795918	nan	nan	nan
base_k100	12	input	256-512	8	0.989061661	0.124386103	+0.009262800	-0.002469450	+1.312500000	nan	nan	nan
base_k100	12	input	512-768	8	0.994040914	0.103021603	-0.006683677	+0.002030954	-0.187500000	nan	nan	nan
base_k100	12	input	64-256	6	0.975168417	0.184210574	+0.004663308	+0.010429353	-0.541666667	nan	nan	nan
base_k100	12	input	768-1024	8	0.980043724	0.182844867	-0.004157901	+0.002458744	+0.187500000	nan	nan	nan
base_k100	12	input	all	256	0.980200072	0.154590047	-0.002643051	-0.000573982	-0.067382812	nan	nan	nan
base_k100	12	mlp_output	0-64	128	0.960808836	0.259436869	-0.001676280	-0.001319402	-0.024887085	nan	nan	nan
base_k100	12	mlp_output	1024-1000000000	98	0.960754477	0.202782561	-0.004768234	-0.001442514	-0.046117666	nan	nan	nan
base_k100	12	mlp_output	256-512	8	0.979335450	0.172182697	+0.001368244	+0.000712124	+0.020019531	nan	nan	nan
base_k100	12	mlp_output	512-768	8	0.984568484	0.173463471	-0.000947854	-0.000152305	-0.000488281	nan	nan	nan
base_k100	12	mlp_output	64-256	6	0.942513516	0.302023589	+0.003948652	+0.001268428	+0.074218750	nan	nan	nan
base_k100	12	mlp_output	768-1024	8	0.949875772	0.305730083	+0.004295263	+0.002525101	+0.023437500	nan	nan	nan
base_k100	12	mlp_output	all	256	0.961339017	0.234780319	-0.002423569	-0.001085781	-0.027015686	nan	nan	nan
base_k100	12	moe_output	0-64	128	0.876203669	0.493851579	+0.002895679	+0.001808057	+0.070526123	nan	nan	nan
base_k100	12	moe_output	1024-1000000000	98	0.923217448	0.340464685	-0.000399312	-0.000112460	-0.001674107	nan	nan	nan
base_k100	12	moe_output	256-512	8	0.940785721	0.324258002	-0.000423454	-0.000186643	-0.034179688	nan	nan	nan
base_k100	12	moe_output	512-768	8	0.948836342	0.312611706	+0.000438839	+0.000567701	-0.012207031	nan	nan	nan
base_k100	12	moe_output	64-256	6	0.871951044	0.436150218	-0.001530091	-0.001044937	-0.005533854	nan	nan	nan
base_k100	12	moe_output	768-1024	8	0.878340706	0.488237363	+0.001324910	+0.001461550	-0.007080078	nan	nan	nan
base_k100	12	moe_output	all	256	0.898456203	0.422641794	+0.001301001	+0.000894068	+0.032821655	nan	nan	nan
base_k100	12	output	0-64	128	0.976032827	0.185363532	+0.009340547	+0.002832132	+0.130859375	nan	nan	nan
base_k100	12	output	1024-1000000000	98	0.980996950	0.137424464	-0.017550135	-0.007873292	-0.270408163	nan	nan	nan
